,Hotel_Name,Review,Total_Review,Rating,Location
25,Oakwood Residence Midtown East,Good ,52.00,7.60,Murray Hill 
26,Murray Hill East Suites,Good ,2870.00,7.80,Murray Hill 
27,The Herald 8 by LuxUrban,Very good ,975.00,8.30,Manhattan 
28,"The Cloud One New York-Downtown, by the Motel One Group",Very good ,13951.00,8.10,Wall Street - Financial District 
29,Pod Times Square,Review score ,8044.00,6.60,Hell's Kitchen 
30,West Side YMCA,Good ,16148.00,7.60,Upper West Side 
31,Hyatt Place New York City/Times Square,Good ,343.00,7.50,Hell's Kitchen 
32,The Tuscany Powered by LuxUrban,Good ,6038.00,7.10,Murray Hill 
33,Hilton Garden Inn New York Central Park South-Midtown West,Good ,2028.00,7.70,Manhattan 
34,"Crowne Plaza Times Square Manhattan, an IHG Hotel",Good ,9659.00,7.70,Manhattan 
35,"The New Yorker, A Wyndham Hotel",Review score ,4435.00,5.60,Hell's Kitchen 
36,The Manhattan at Times Square,Fabulous ,7298.00,8.60,Manhattan 
37,Riu Plaza Manhattan Times Square,Good ,11455.00,7.30,Manhattan 
38,Hotel Edison Times Square,Review score ,2802.00,6.50,Manhattan 
39,Paramount Hotel Times Square,Very good ,1847.00,8.20,Manhattan 
40,Courtyard by Marriott Times Square West,Good ,2189.00,7.20,Hell's Kitchen 
41,Four Points by Sheraton New York Downtown,Good ,703.00,7.30,Wall Street - Financial District 
42,Courtyard New York Downtown Manhattan/Financial District,Good ,1382.00,7.30,Wall Street - Financial District 
43,DoubleTree by Hilton Hotel New York City - Chelsea,Good ,4646.00,7.70,Chelsea 
44,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Very good ,951.00,8.00,Hell's Kitchen 
45,Home2 Suites By Hilton New York Times Square,Very good ,4498.00,8.10,Manhattan 
46,Hilton Garden Inn New York/Midtown Park Avenue,Very good ,1475.00,8.50,Manhattan 
47,SpringHill Suites by Marriott New York Manhattan Chelsea,Good ,6245.00,7.00,Chelsea 
48,CIVILIAN Hotel,Good ,5866.00,7.50,Hell's Kitchen 
49,Millennium Hotel Broadway Times Square,Very good ,959.00,8.30,Manhattan 
50,Element Times Square West,Very good ,1876.00,8.00,Hell's Kitchen 
51,The Gotham Hotel,Very good ,848.00,8.30,Midtown East 
52,The Manhattan Club,Good ,3097.00,7.90,Manhattan 
53,Courtyard by Marriott New York Manhattan/Chelsea,Very good ,3477.00,8.10,Chelsea 
54,Leo House,Very good ,1648.00,8.50,Chelsea 
55,Residence Inn by Marriott New York Manhattan/Times Square,Review score ,46.00,5.90,Manhattan 
56,AC Hotel by Marriott New York Downtown,Fabulous ,2289.00,8.80,Wall Street - Financial District 
57,The Home Hotel Powered by LuxUrban,Very good ,148.00,8.10,Hell's Kitchen 
58,citizenM New York Bowery,Very good ,664.00,8.30,Lower East Side 
59,Hilton New York Times Square,Good ,1867.00,7.90,Manhattan 
60,Iberostar 70 Park Avenue,Very good ,1067.00,8.00,Murray Hill 
61,U Hotel Fifth Avenue I Empire State Building,Very good ,130.00,8.40,Manhattan 
62,Courtyard New York Manhattan/Midtown East,Good ,920.00,7.50,Midtown East 
63,Grayson Hotel,Good ,2560.00,7.60,Manhattan 
64,New York Hilton Midtown,Very good ,3878.00,8.10,Manhattan 
65,Sheraton Tribeca New York Hotel,Good ,1698.00,7.60,Tribeca 
66,The Belvedere Hotel,Good ,719.00,7.60,Hell's Kitchen 
67,Hilton Garden Inn New York - Times Square Central,Good ,7585.00,7.80,Manhattan 
68,Dream Midtown,Good ,1180.00,7.60,Manhattan 
69,Pod 51,Good ,2035.00,7.50,Midtown East 
70,"Hotel Shocard Broadway, Times Square",Very good ,6144.00,8.40,Manhattan 
71,Long Term Stays Manhattan,Fabulous ,638.00,8.70,Washington Heights 
72,"Holiday Inn New York City - Times Square, an IHG Hotel",Very good ,9240.00,8.20,Hell's Kitchen 
73,M Social Hotel Times Square New York,Good ,3907.00,7.30,Manhattan 
74,Omni Berkshire Place,Good ,3128.00,7.90,Midtown East 
75,HI New York City Hostel,Fabulous ,2383.00,8.60,Upper West Side 
76,Millennium Downtown New York,Review score ,833.00,6.60,Wall Street - Financial District 
77,"Holiday Inn Express New York City Chelsea, an IHG Hotel",Good ,558.00,7.80,Chelsea 
78,Courtyard New York Manhattan/Midtown West,Very good ,3170.00,8.30,Hudson Yards 
79,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",Fabulous ,2857.00,8.70,Hell's Kitchen 
80,Renaissance New York Chelsea Hotel,Very good ,981.00,8.00,Chelsea 
81,World Center Hotel,Very good ,192.00,8.50,Wall Street - Financial District 
82,citizenM New York Times Square,Good ,1449.00,7.90,Manhattan 
83,"InterContinental New York Barclay Hotel, an IHG Hotel",Good ,1373.00,7.20,Midtown East 
84,"Park South Hotel, part of JdV by Hyatt",Good ,598.00,7.70,NoMad 
85,The Allen Hotel,Good ,3859.00,7.70,Lower East Side 
86,City Club Hotel,Very good ,3639.00,8.30,Manhattan 
87,Eurostars Wall Street,Good ,1048.00,7.00,Wall Street - Financial District 
88,Ameritania at Times Square,Very good ,2859.00,8.10,Manhattan 
89,Hampton Inn Manhattan-35th St Empire State Bldg,Good ,2412.00,7.70,Manhattan 
90,Four Points by Sheraton Manhattan Chelsea,Superb ,749.00,9.00,Chelsea 
91,TownePlace Suites by Marriott New York Manhattan/Chelsea,Very good ,6639.00,8.40,Chelsea 
92,Hilton Garden Inn New York Times Square North,Good ,1143.00,7.40,Manhattan 
93,Sanctuary NYC Retreats,Very good ,2353.00,8.20,Lower East Side 
94,Riu Plaza New York Times Square,Review score ,3002.00,6.60,Hell's Kitchen 
95,Aloft Manhattan Downtown - Financial District,Very good ,8844.00,8.00,Wall Street - Financial District 
96,La Quinta by Wyndham Time Square South,Good ,9240.00,7.60,Hell's Kitchen 
97,La Quinta by Wyndham New York City Central Park,Very good ,3907.00,8.00,Upper West Side 
98,MOXY NYC Times Square,Good ,3128.00,7.90,Manhattan 
99,Murray Hill 1BR w Gym Doorman Pool Rooftop NYC-585,Good ,2383.00,7.90,Kips Bay 
100,Hampton Inn Manhattan Grand Central,Very good ,833.00,8.50,Midtown East 
101,The Westin New York Grand Central,Good ,558.00,7.90,Murray Hill 
102,Tribeca Studio w Great views Indoor pool NYC-109,Good ,3170.00,7.70,Tribeca 
103,Freehand New York,Very good ,2857.00,8.20,Gramercy 
104,Arthouse Hotel,Good ,981.00,7.50,Upper West Side 
105,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Review score ,192.00,6.50,Wall Street - Financial District 
106,Hotel St. James,Fabulous ,1449.00,8.60,Manhattan 
107,The Evelyn NoMad,Very good ,1373.00,8.20,NoMad 
108,Courtyard by Marriott New York Manhattan/Central Park,Good ,598.00,7.90,Manhattan 
109,TBA Times Square,Good ,3859.00,7.50,Hell's Kitchen 
110,"Holiday Inn Express - Wall Street, an IHG Hotel",Good ,3639.00,7.00,Wall Street - Financial District 
111,"Hotel 50 Bowery, part of JdV by Hyatt",Very good ,1048.00,8.20,Chinatown 
112,New York Marriott Marquis,Very good ,2859.00,8.10,Manhattan 
113,Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,Good ,2412.00,7.60,Hell's Kitchen 
114,Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,Very good ,749.00,8.00,Chelsea 
115,Ramada by Wyndham New York Times Square West,Good ,6639.00,7.80,Hell's Kitchen 
116,"Hotel Indigo NYC Downtown - Wall Street, an IHG Hotel",Very good ,1143.00,8.10,Wall Street - Financial District 
117,Leon Hotel LES,Very good ,2353.00,8.00,Lower East Side 
118,Citadines Connect Fifth Avenue New York,Very good ,3002.00,8.00,Manhattan 
119,Club Quarters Hotel Grand Central ,Very good ,8844.00,8.20,Midtown East 
120,The Blakely by LuxUrban,Very good ,57.00,8.00,Manhattan 
121,"The Bernic Hotel New York City,Tapestry Collection by Hilton",Good ,657.00,7.60,Midtown East 
122,Virgin Hotels New York City,Very good ,2535.00,8.30,NoMad 
123,Courtyard by Marriott New York Manhattan / Soho,Very good ,946.00,8.30,SoHo 
124,Hyatt House New York/Chelsea,Good ,1087.00,7.90,Chelsea 
125,SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,Good ,3627.00,7.30,Flatiron District 
126,Wyndham Garden Chinatown,Very good ,844.00,8.00,Lower East Side 
127,Hilton Garden Inn West 35th Street,Good ,483.00,7.40,Manhattan 
128,"EVEN Midtown East - Grand Central, an IHG Hotel",Good ,1078.00,7.20,Midtown East 
129,Ace Hotel New York,Very good ,1074.00,8.30,NoMad 
130,DoubleTree by Hilton New York Downtown,Fabulous ,1797.00,8.60,Wall Street - Financial District 
131,Hyatt Herald Square New York,Good ,844.00,7.60,NoMad 
132,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,Very good ,728.00,8.00,Manhattan 
133,Sixty LES,Very good ,415.00,8.20,Lower East Side 
134,Royalton Park Avenue,Fabulous ,766.00,8.70,NoMad 
135,The Jewel Hotel ,Good ,523.00,7.60,Manhattan 
136,Four Points by Sheraton Manhattan SoHo Village,Good ,770.00,7.90,SoHo 
137,Aloft Harlem,Very good ,178.00,8.30,Harlem 
138,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,Very good ,464.00,8.10,Manhattan 
139,Midtown E Studio w Great light Gym NYC-139,Very good ,647.00,8.50,Kips Bay 
140,Archer Hotel New York,Review score ,1225.00,6.90,Manhattan 
141,Hilton Garden Inn New York/Tribeca,Good ,562.00,7.50,Tribeca 
142,The Westin New York at Times Square,Good ,770.00,7.30,Manhattan 
143,Thompson Central Park - New York,Exceptional ,1 review,10.00,Manhattan 
144,Moxy NYC Downtown,Good ,1188.00,7.50,Wall Street - Financial District 
145,"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",Very good ,1260.00,8.20,Hell's Kitchen 
146,OYO Times Square,Review score ,4246.00,6.50,Manhattan 
147,Hotel Hugo,Very good ,2521.00,8.10,SoHo 
148,Dream Downtown,Very good ,586.00,8.10,Chelsea 
149,Heart of Chelsea!,Fabulous ,1643.00,8.80,Chelsea 
150,Hilton Garden Inn New York Manhattan Midtown East,Review score ,1243.00,5.60,Midtown East 
151,NH Collection New York Madison Avenue,Very good ,2623.00,8.20,Murray Hill 
152,The Gallivant Times Square,Good ,621.00,7.30,Manhattan 
153,Arlo NoMad,Very good ,488.00,8.30,NoMad 
154,The James New York - NoMad,Very good ,607.00,8.10,NoMad 
155,San Carlos Hotel New York,Fabulous ,1425.00,8.80,Midtown East 
156,U.S. Pacific Hotel,Very good ,1389.00,8.40,Chinatown 
157,Executive Hotel Le Soleil New York,Good ,2014.00,7.20,Manhattan 
158,Hilton New York Fashion District,Review score ,1000.00,6.80,Chelsea 
159,Radio Hotel,Good ,2299.00,7.70,Washington Heights 
160,"Martinique New York on Broadway, Curio Collection by Hilton",Good ,595.00,7.30,Manhattan 
161,Hard Rock Hotel New York,Good ,751.00,7.60,Manhattan 
162,Residence Inn by Marriott New York Manhattan/Central Park,Very good ,159.00,8.20,Manhattan 
163,The Hotel at Fifth Avenue,Good ,1550.00,7.80,Manhattan 
164,Hotel Hayden New York,Good ,1030.00,7.40,Chelsea 
165,Millennium Hilton New York One UN Plaza,Very good ,4166.00,8.20,Midtown East 
166,NoMo SoHo,Very good ,1089.00,8.50,SoHo 
167,Midtown E 2BR w WD nr Central Park NYC-531,Very good ,,,Midtown East 
168,Hotel Indigo Lower East Side New York,Fabulous ,,,Lower East Side 
169,UWS 1BR w Gym Walk to Central Park NYC-165,Very good ,,,New York
170,The FIDI Hotel,Good ,,,Wall Street - Financial District 
171,The Frederick Hotel Tribeca,Fabulous ,,,Tribeca 
172,Sheraton New York Times Square Hotel,Good ,,,Manhattan 
173,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,Very good ,,,Hell's Kitchen 
174,The Pearl Hotel,Good ,,,Manhattan 
175,Gansevoort Meatpacking,Fabulous ,663.00,8.30,Greenwich Village 
176,The Peninsula New York,Very good ,579.00,8.80,Manhattan 
177,Iroquois New York Times Square,Good ,1864.00,8.10,Manhattan 
178,WJK,Review score ,377.00,7.60,New York
179,Residence Inn New York Downtown Manhattan/Financial District,Very good ,832.00,8.70,Wall Street - Financial District 
180,"Staypineapple, An Artful Hotel, Midtown New York",Good ,718.00,7.60,Hell's Kitchen 
181,Hampton Inn Manhattan/Downtown- Financial District,Very good ,1294.00,8.30,Wall Street - Financial District 
182,Soho Grand Hotel,Review score ,1294.00,7.50,SoHo 
183,"The Time New York, part of JdV by Hyatt",Superb ,3255.00,8.70,Manhattan 
184,Arlo Midtown,Good ,495.00,8.50,Hell's Kitchen 
185,The Kitano Hotel New York,Very good ,1736.00,7.20,Murray Hill 
186,Heritage Hotel New York City,Fabulous ,1918.00,6.50,Flatiron District 
187,Hampton Inn Manhattan - Times Square South,Very good ,333.00,8.10,Hell's Kitchen 
